message,response
*what is the role of diagrams in*, Diagrams help clarify and communicate requirements.
*how does version control help in*, It tracks changes and maintains consistency.
*why are user stories part of*, They provide a clear, user-focused perspective.
*how do we ensure alignment with*, By conducting regular reviews and updates.
*why do use cases matter in*, They outline system interactions and workflows.
*how can we improve collaboration for*, By fostering communication and using collaboration tools.
*why do iterative processes support*, They allow for continuous refinement and feedback.
*how does feedback enhance*, Feedback ensures that requirements align with expectations.

## Gen AI
*What is Generative AI*,"Generative AI refers to algorithms that can generate new content, such as text, images, or music, based on patterns learned from data."
*What is Gen AI*,"Generative AI refers to algorithms that can generate new content, such as text, images, or music, based on patterns learned from data."
*How does Generative AI work*,"Generative AI works by training models on large datasets to learn patterns and then using those patterns to create new, similar content."
*What are the applications of Generative AI*,"Generative AI is used in applications like text generation, image synthesis, music composition, and even drug discovery."
*What is a neural network*,"A neural network is a series of algorithms that attempt to recognize underlying relationships in a set of data through a process that mimics the human brain."
*What is a GAN*,"A GAN, or Generative Adversarial Network, is a type of AI model where two neural networks compete to improve the quality of generated outputs."
*What is a transformer model*,"A transformer model is a type of neural network architecture that uses self-attention mechanisms to process sequential data, like text."
*What is fine-tuning in AI*,"Fine-tuning is the process of taking a pre-trained model and adapting it to a specific task by training it further on a smaller, task-specific dataset."
*What is a language model*,"A language model is a type of AI model trained to predict the next word in a sequence, enabling it to generate coherent text."
*What is unsupervised learning*,"Unsupervised learning is a type of machine learning where the model is trained on data without explicit labels, finding patterns on its own."
*What is supervised learning*,"Supervised learning is a type of machine learning where the model is trained on labeled data, learning to map inputs to outputs."
*What is reinforcement learning*,"Reinforcement learning is a type of machine learning where an agent learns to make decisions by receiving rewards or penalties for actions."
*What is transfer learning*,"Transfer learning is a technique where a model trained on one task is reused as the starting point for a different but related task."
*What is overfitting in AI*,"Overfitting occurs when a model learns the training data too well, including noise, and performs poorly on new, unseen data."
*What is underfitting in AI*,"Underfitting occurs when a model is too simple to capture the underlying patterns in the data, resulting in poor performance."
*What is a loss function*,"A loss function measures how well a model's predictions match the actual data, guiding the training process."
*What is backpropagation*,"Backpropagation is a method used to train neural networks by calculating the gradient of the loss function and adjusting the model's weights."
*What is a hyperparameter*,"A hyperparameter is a setting that controls the training process of a model, such as learning rate or number of layers."
*What is a dataset in AI*,"A dataset is a collection of data used to train, validate, or test an AI model."
*What is data preprocessing*,"Data preprocessing involves cleaning and transforming raw data into a format suitable for training AI models."
*What is feature engineering*,"Feature engineering is the process of selecting and transforming variables in the data to improve model performance."
*What is a convolutional neural network*,"A convolutional neural network (CNN) is a type of neural network designed for processing grid-like data, such as images."
*What is a recurrent neural network*,"A recurrent neural network (RNN) is a type of neural network designed for sequential data, like time series or text."
*What is attention mechanism*,"An attention mechanism allows a model to focus on specific parts of the input when making predictions, improving performance."
*What is a token in NLP*,"A token is a unit of text, such as a word or subword, used as input for natural language processing models."
*What is BERT*,"BERT, or Bidirectional Encoder Representations from Transformers, is a pre-trained language model that understands context in text."
*What is GPT*,"GPT, or Generative Pre-trained Transformer, is a family of language models that generate human-like text."
*What is a chatbot*,"A chatbot is an AI-powered program designed to simulate conversation with human users."
*What is a recommendation system*,"A recommendation system is an AI tool that suggests products, services, or content based on user preferences."
*What is computer vision*,"Computer vision is a field of AI that enables machines to interpret and understand visual information from the world."
*What is natural language processing*,"Natural language processing (NLP) is a field of AI focused on enabling machines to understand and generate human language."
*What is sentiment analysis*,"Sentiment analysis is an NLP technique used to determine the emotional tone behind a piece of text."
*What is text summarization*,"Text summarization is an NLP task that involves condensing a piece of text into a shorter version while retaining key information."
*What is machine translation*,"Machine translation is the use of AI to automatically translate text from one language to another."
*What is image generation*,"Image generation is the process of creating new images using AI models, often based on textual descriptions."
*What is style transfer*,"Style transfer is a technique where the style of one image is applied to another, often using neural networks."
*What is data augmentation*,"Data augmentation is the process of artificially increasing the size of a dataset by applying transformations to existing data."
*What is a benchmark in AI*,"A benchmark is a standard test or dataset used to evaluate the performance of AI models."
*What is a pre-trained model*,"A pre-trained model is an AI model that has already been trained on a large dataset and can be fine-tuned for specific tasks."
*What is zero-shot learning*,"Zero-shot learning is a technique where a model can perform tasks it was never explicitly trained on."
*What is few-shot learning*,"Few-shot learning is a technique where a model learns to perform tasks with very little training data."
*What is self-supervised learning*,"Self-supervised learning is a type of machine learning where the model generates its own labels from the input data."
*What is a latent space*,"A latent space is a compressed representation of data learned by a model, capturing its essential features."
*What is a variational autoencoder*,"A variational autoencoder (VAE) is a type of generative model that learns to encode and decode data into a latent space."
*What is a diffusion model*,"A diffusion model is a type of generative model that creates data by reversing a gradual noise-adding process."
*What is a prompt in AI*,"A prompt is an input given to an AI model to guide its output, often used in text generation tasks."
*What is a temperature parameter*,"The temperature parameter controls the randomness of a model's output, with higher values leading to more diverse results."
*What is top-k sampling*,"Top-k sampling is a decoding strategy where the model randomly selects from the top k most likely next tokens."
*What is beam search*,"Beam search is a decoding strategy that explores multiple sequences simultaneously to find the most likely output."
*What is a language model perplexity*,"Perplexity is a measure of how well a language model predicts a sample, with lower values indicating better performance."
*What is a word embedding*,"A word embedding is a vector representation of a word that captures its meaning and relationships with other words."
*What is a sentence embedding*,"A sentence embedding is a vector representation of a sentence that captures its overall meaning."
*What is a knowledge graph*,"A knowledge graph is a structured representation of knowledge that connects entities and their relationships."
*What is a semantic network*,"A semantic network is a graph-based representation of knowledge that shows relationships between concepts."
*What is a Turing test*,"The Turing test is a measure of a machine's ability to exhibit intelligent behavior indistinguishable from a human."
*What is AI ethics*,"AI ethics is the study of moral issues and decisions related to the development and use of artificial intelligence."
*What is bias in AI*,"Bias in AI refers to unfair or prejudiced outcomes caused by skewed data or flawed algorithms."
*What is fairness in AI*,"Fairness in AI refers to the principle of ensuring that AI systems treat all individuals and groups equitably."
*What is explainability in AI*,"Explainability in AI refers to the ability to understand and interpret the decisions made by AI models."
*What is interpretability in AI*,"Interpretability in AI refers to the degree to which a human can understand the cause of a model's decisions."
*What is a black-box model*,"A black-box model is an AI model whose internal workings are not easily understood or interpretable."
*What is a white-box model*,"A white-box model is an AI model whose internal logic and decision-making process are transparent and interpretable."
*What is adversarial attack*,"An adversarial attack is an attempt to fool an AI model by providing input designed to cause incorrect outputs."
*What is robustness in AI*,"Robustness in AI refers to the ability of a model to perform well under varying conditions or adversarial inputs."
*What is generalization in AI*,"Generalization in AI refers to a model's ability to perform well on new, unseen data beyond its training set."
*What is a training set*,"A training set is the portion of data used to train an AI model."
*What is a validation set*,"A validation set is the portion of data used to tune and evaluate a model during training."
*What is a test set*,"A test set is the portion of data used to evaluate the final performance of a trained model."
*What is cross-validation*,"Cross-validation is a technique for assessing how well a model generalizes by splitting the data into multiple subsets."
*What is a confusion matrix*,"A confusion matrix is a table used to evaluate the performance of a classification model by comparing predictions to actual labels."
*What is precision in AI*,"Precision is a metric that measures the proportion of true positive predictions out of all positive predictions."
*What is recall in AI*,"Recall is a metric that measures the proportion of true positives identified out of all actual positives."
*What is F1 score*,"The F1 score is a metric that combines precision and recall into a single value, balancing both measures."
*What is accuracy in AI*,"Accuracy is a metric that measures the proportion of correct predictions out of all predictions made."
*What is a ROC curve*,"A ROC curve is a graph that shows the performance of a classification model at different thresholds."
*What is AUC*,"AUC, or Area Under the Curve, is a metric that summarizes the performance of a ROC curve."
*What is a gradient in AI*,"A gradient is a vector that points in the direction of the steepest increase of a function, used in optimization."
*What is gradient descent*,"Gradient descent is an optimization algorithm used to minimize a function by iteratively moving in the direction of the negative gradient."
*What is stochastic gradient descent*,"Stochastic gradient descent is a variant of gradient descent that uses a single data point to update the model, making it faster but noisier."
*What is a learning rate*,"The learning rate is a hyperparameter that controls how much the model's weights are adjusted during training."
*What is momentum in optimization*,"Momentum is a technique used in optimization to accelerate gradient descent by adding a fraction of the previous update."
*What is regularization in AI*,"Regularization is a technique used to prevent overfitting by adding a penalty for complex models."
*What is L1 regularization*,"L1 regularization adds a penalty equal to the absolute value of the coefficients, encouraging sparsity."
*What is L2 regularization*,"L2 regularization adds a penalty equal to the square of the coefficients, discouraging large weights."
*What is dropout in neural networks*,"Dropout is a regularization technique where random neurons are ignored during training to prevent overfitting."
*What is batch normalization*,"Batch normalization is a technique used to stabilize and speed up the training of neural networks by normalizing inputs."
*What is an epoch in training*,"An epoch is a single pass through the entire training dataset during the training process."
*What is a batch in training*,"A batch is a subset of the training data used to update the model's weights in a single step."
*What is a mini-batch in training*,"A mini-batch is a small subset of the training data used in stochastic gradient descent."
*What is early stopping*,"Early stopping is a technique where training is halted once the model's performance on the validation set stops improving."
*What is a callback in training*,"A callback is a function that can be executed at specific points during the training process to modify behavior."
*What is a loss curve*,"A loss curve is a graph that shows how the loss function changes over time during training."
*What is a learning curve*,"A learning curve is a graph that shows how model performance improves with more training data or epochs."
*What is a confusion matrix*,"A confusion matrix is a table used to evaluate the performance of a classification model by comparing predictions to actual labels."
*What is precision in AI*,"Precision is a metric that measures the proportion of true positive predictions out of all positive predictions."
*What is recall in AI*,"Recall is a metric that measures the proportion of true positives identified out of all actual positives."
*What is F1 score*,"The F1 score is a metric that combines precision and recall into a single value, balancing both measures."
*What is accuracy in AI*,"Accuracy is a metric that measures the proportion of correct predictions out of all predictions made."
*What is a ROC curve*,"A ROC curve is a graph that shows the performance of a classification model at different thresholds."
*What is AUC*,"AUC, or Area Under the Curve, is a metric that summarizes the performance of a ROC curve."
*What is a gradient in AI*,"A gradient is a vector that points in the direction of the steepest increase of a function, used in optimization."
*What is gradient descent*,"Gradient descent is an optimization algorithm used to minimize a function by iteratively moving in the direction of the negative gradient."
*What is stochastic gradient descent*,"Stochastic gradient descent is a variant of gradient descent that uses a single data point to update the model, making it faster but noisier."
*What is a learning rate*,"The learning rate is a hyperparameter that controls how much the model's weights are adjusted during training."
*What is momentum in optimization*,"Momentum is a technique used in optimization to accelerate gradient descent by adding a fraction of the previous update."
*What is regularization in AI*,"Regularization is a technique used to prevent overfitting by adding a penalty for complex models."
*What is L1 regularization*,"L1 regularization adds a penalty equal to the absolute value of the coefficients, encouraging sparsity."
*What is L2 regularization*,"L2 regularization adds a penalty equal to the square of the coefficients, discouraging large weights."
*What is dropout in neural networks*,"Dropout is a regularization technique where random neurons are ignored during training to prevent overfitting."
*What is batch normalization*,"Batch normalization is a technique used to stabilize and speed up the training of neural networks by normalizing inputs."
*What is an epoch in training*,"An epoch is a single pass through the entire training dataset during the training process."
*What is a batch in training*,"A batch is a subset of the training data used to update the model's weights in a single step."
*What is a mini-batch in training*,"A mini-batch is a small subset of the training data used in stochastic gradient descent."
*What is early stopping*,"Early stopping is a technique where training is halted once the model's performance on the validation set stops improving."
*What is a callback in training*,"A callback is a function that can be executed at specific points during the training process to modify behavior."
*What is a loss curve*,"A loss curve is a graph that shows how the loss function changes over time during training."
*What is a learning curve*,"A learning curve is a graph that shows how model performance improves with more training data or epochs."
*What is a confusion matrix*,"A confusion matrix is a table used to evaluate the performance of a classification model by comparing predictions to actual labels."
*What is precision in AI*,"Precision is a metric that measures the proportion of true positive predictions out of all positive predictions."
*What is recall in AI*,"Recall is a metric that measures the proportion of true positives identified out of all actual positives."
*What is F1 score*,"The F1 score is a metric that combines precision and recall into a single value, balancing both measures."
*What is accuracy in AI*,"Accuracy is a metric that measures the proportion of correct predictions out of all predictions made."
*What is a ROC curve*,"A ROC curve is a graph that shows the performance of a classification model at different thresholds."
*What is AUC*,"AUC, or Area Under the Curve, is a metric that summarizes the performance of a ROC curve."
*What is a gradient in AI*,"A gradient is a vector that points in the direction of the steepest increase of a function, used in optimization."
*What is gradient descent*,"Gradient descent is an optimization algorithm used to minimize a function by iteratively moving in the direction of the negative gradient."
*What is stochastic gradient descent*,"Stochastic gradient descent is a variant of gradient descent that uses a single data point to update the model, making it faster but noisier."
*What is a learning rate*,"The learning rate is a hyperparameter that controls how much the model's weights are adjusted during training."
*What is momentum in optimization*,"Momentum is a technique used in optimization to accelerate gradient descent by adding a fraction of the previous update."
*What is regularization in AI*,"Regularization is a technique used to prevent overfitting by adding a penalty for complex models."
*What is L1 regularization*,"L1 regularization adds a penalty equal to the absolute value of the coefficients, encouraging sparsity."
*What is L2 regularization*,"L2 regularization adds a penalty equal to the square of the coefficients, discouraging large weights."
*What is dropout in neural networks*,"Dropout is a regularization technique where random neurons are ignored during training to prevent overfitting."
*What is batch normalization*,"Batch normalization is a technique used to stabilize and speed up the training of neural networks by normalizing inputs."
*What is an epoch in training*,"An epoch is a single pass through the entire training dataset during the training process."
*What is a batch in training*,"A batch is a subset of the training data used to update the model's weights in a single step."
*What is a mini-batch in training*,"A mini-batch is a small subset of the training data used in stochastic gradient descent."
*What is early stopping*,"Early stopping is a technique where training is halted once the model's performance on the validation set stops improving."
*What is a callback in training*,"A callback is a function that can be executed at specific points during the training process to modify behavior."
*What is a loss curve*,"A loss curve is a graph that shows how the loss function changes over time during training."
*What is a learning curve*,"A learning curve is a graph that shows how model performance improves with more training data or epochs."
*What is a confusion matrix*,"A confusion matrix is a table used to evaluate the performance of a classification model by comparing predictions to actual labels."
*What is precision in AI*,"Precision is a metric that measures the proportion of true positive predictions out of all positive predictions."
*What is recall in AI*,"Recall is a metric that measures the proportion of true positives identified out of all actual positives."
*What is F1 score*,"The F1 score is a metric that combines precision and recall into a single value, balancing both measures."
*What is accuracy in AI*,"Accuracy is a metric that measures the proportion of correct predictions out of all predictions made."
*What is a ROC curve*,"A ROC curve is a graph that shows the performance of a classification model at different thresholds."
*What is AUC*,"AUC, or Area Under the Curve, is a metric that summarizes the performance of a ROC curve."
*What is a gradient in AI*,"A gradient is a vector that points in the direction of the steepest increase of a function, used in optimization."
*What is gradient descent*,"Gradient descent is an optimization algorithm used to minimize a function by iteratively moving in the direction of the negative gradient."
*What is stochastic gradient descent*,"Stochastic gradient descent is a variant of gradient descent that uses a single data point to update the model, making it faster but noisier."
*What is a learning rate*,"The learning rate is a hyperparameter that controls how much the model's weights are adjusted during training."
*What is momentum in optimization*,"Momentum is a technique used in optimization to accelerate gradient descent by adding a fraction of the previous update."
*What is regularization in AI*,"Regularization is a technique used to prevent overfitting by adding a penalty for complex models."
*What is L1 regularization*,"L1 regularization adds a penalty equal to the absolute value of the coefficients, encouraging sparsity."
*What is L2 regularization*,"L2 regularization adds a penalty equal to the square of the coefficients, discouraging large weights."
*What is dropout in neural networks*,"Dropout is a regularization technique where random neurons are ignored during training to prevent overfitting."
*What is batch normalization*,"Batch normalization is a technique used to stabilize and speed up the training of neural networks by normalizing inputs."
*What is an epoch in training*,"An epoch is a single pass through the entire training dataset during the training process."
*What is a batch in training*,"A batch is a subset of the training data used to update the model's weights in a single step."
*What is a mini-batch in training*,"A mini-batch is a small subset of the training data used in stochastic gradient descent."
*What is early stopping*,"Early stopping is a technique where training is halted once the model's performance on the validation set stops improving."
*What is a callback in training*,"A callback is a function that can be executed at specific points during the training process to modify behavior."
*What is a loss curve*,"A loss curve is a graph that shows how the loss function changes over time during training."
*What is a learning curve*,"A learning curve is a graph that shows how model performance improves with more training data or epochs."
*What is a confusion matrix*,"A confusion matrix is a table used to evaluate the performance of a classification model by comparing predictions to actual labels."
*What is precision in AI*,"Precision is a metric that measures the proportion of true positive predictions out of all positive predictions."
*What is recall in AI*,"Recall is a metric that measures the proportion of true positives identified out of all actual positives."
*What is F1 score*,"The F1 score is a metric that combines precision and recall into a single value, balancing both measures."
*What is accuracy in AI*,"Accuracy is a metric that measures the proportion of correct predictions out of all predictions made."
*What is a ROC curve*,"A ROC curve is a graph that shows the performance of a classification model at different thresholds."
*What is AUC*,"AUC, or Area Under the Curve, is a metric that summarizes the performance of a ROC curve."
*What is a gradient in AI*,"A gradient is a vector that points in the direction of the steepest increase of a function, used in optimization."
*What is gradient descent*,"Gradient descent is an optimization algorithm used to minimize a function by iteratively moving in the direction of the negative gradient."
*What is stochastic gradient descent*,"Stochastic gradient descent is a variant of gradient descent that uses a single data point to update the model, making it faster but noisier."
*What is a learning rate*,"The learning rate is a hyperparameter that controls how much the model's weights are adjusted during training."
*What is momentum in optimization*,"Momentum is a technique used in optimization to accelerate gradient descent by adding a fraction of the previous update."
*What is regularization in AI*,"Regularization is a technique used to prevent overfitting by adding a penalty for complex models."
*What is L1 regularization*,"L1 regularization adds a penalty equal to the absolute value of the coefficients, encouraging sparsity."
*What is L2 regularization*,"L2 regularization adds a penalty equal to the square of the coefficients, discouraging large weights."
*What is dropout in neural networks*,"Dropout is a regularization technique where random neurons are ignored during training to prevent overfitting."
*What is batch normalization*,"Batch normalization is a technique used to stabilize and speed up the training of neural networks by normalizing inputs."
*What is an epoch in training*,"An epoch is a single pass through the entire training dataset during the training process."
*What is a batch in training*,"A batch is a subset of the training data used to update the model's weights in a single step."
*What is a mini-batch in training*,"A mini-batch is a small subset of the training data used in stochastic gradient descent."
*What is early stopping*,"Early stopping is a technique where training is halted once the model's performance on the validation set stops improving."
*What is a callback in training*,"A callback is a function that can be executed at specific points during the training process to modify behavior."
*What is a loss curve*,"A loss curve is a graph that shows how the loss function changes over time during training."
*What is a learning curve*,"A learning curve is a graph that shows how model performance improves with more training data or epochs."
*What is a confusion matrix*,"A confusion matrix is a table used to evaluate the performance of a classification model by comparing predictions to actual labels."
*What is precision in AI*,"Precision is a metric that measures the proportion of true positive predictions out of all positive predictions."
*What is recall in AI*,"Recall is a metric that measures the proportion of true positives identified out of all actual positives."
*What is F1 score*,"The F1 score is a metric that combines precision and recall into a single value, balancing both measures."
*What is accuracy in AI*,"Accuracy is a metric that measures the proportion of correct predictions out of all predictions made."
*What is a ROC curve*,"A ROC curve is a graph that shows the performance of a classification model at different thresholds."
*What is AUC*,"AUC, or Area Under the Curve, is a metric that summarizes the performance of a ROC curve."
*What is a gradient in AI*,"A gradient is a vector that points in the direction of the steepest increase of a function, used in optimization."
*What is gradient descent*,"Gradient descent is an optimization algorithm used to minimize a function by iteratively moving in the direction of the negative gradient."
*What is stochastic gradient descent*,"Stochastic gradient descent is a variant of gradient descent that uses a single data point to update the model, making it faster but noisier."
*What is a learning rate*,"The learning rate is a hyperparameter that controls how much the model's weights are adjusted during training."
*What is momentum in optimization*,"Momentum is a technique used in optimization to accelerate gradient descent by adding a fraction of the previous update."
*What is regularization in AI*,"Regularization is a technique used to prevent overfitting by adding a penalty for complex models."
*What is L1 regularization*,"L1 regularization adds a penalty equal to the absolute value of the coefficients, encouraging sparsity."
*What is L2 regularization*,"L2 regularization adds a penalty equal to the square of the coefficients, discouraging large weights."
*What is dropout in neural networks*,"Dropout is a regularization technique where random neurons are ignored during training to prevent overfitting."
*What is batch normalization*,"Batch normalization is a technique used to stabilize and speed up the training of neural networks by normalizing inputs."
*What is an epoch in training*,"An epoch is a single pass through the entire training dataset during the training process."
*What is a batch in training*,"A batch is a subset of the training data used to update the model's weights in a single step."
*What is a mini-batch in training*,"A mini-batch is a small subset of the training data used in stochastic gradient descent."
*What is early stopping*,"Early stopping is a technique where training is halted once the model's performance on the validation set stops improving."
*What is a callback in training*,"A callback is a function that can be executed at specific points during the training process to modify behavior."
*What is a loss curve*,"A loss curve is a graph that shows how the loss function changes over time during training."
*What is a learning curve*,"A learning curve is a graph that shows how model performance improves with more training data or epochs."
*What is a confusion matrix*,"A confusion matrix is a table used to evaluate the performance of a classification model by comparing predictions to actual labels."
*What is precision in AI*,"Precision is a metric that measures the proportion of true positive predictions out of all positive predictions."
*What is recall in AI*,"Recall is a metric that measures the proportion of true positives identified out of all actual positives."
*What is F1 score*,"The F1 score is a metric that combines precision and recall into a single value, balancing both measures."
*What is accuracy in AI*,"Accuracy is a metric that measures the proportion of correct predictions out of all predictions made."
*What is a ROC curve*,"A ROC curve is a graph that shows the performance of a classification model at different thresholds."
*What is AUC*,"AUC, or Area Under the Curve, is a metric that summarizes the performance of a ROC curve."
*What is a gradient in AI*,"A gradient is a vector that points in the direction of the steepest increase of a function, used in optimization."
*What is gradient descent*,"Gradient descent is an optimization algorithm used to minimize a function by iteratively moving in the direction of the negative gradient."
*What is stochastic gradient descent*,"Stochastic gradient descent is a variant of gradient descent that uses a single data point to update the model, making it faster but noisier."
*What is a learning rate*,"The learning rate is a hyperparameter that controls how much the model's weights are adjusted during training."
*What is momentum in optimization*,"Momentum is a technique used in optimization to accelerate gradient descent by adding a fraction of the previous update."
*What is regularization in AI*,"Regularization is a technique used to prevent overfitting by adding a penalty for complex models."
*What is L1 regularization*,"L1 regularization adds a penalty equal to the absolute value of the coefficients, encouraging sparsity."
*What is L2 regularization*,"L2 regularization adds a penalty equal to the square of the coefficients, discouraging large weights."
*What is dropout in neural networks*,"Dropout is a regularization technique where random neurons are ignored during training to prevent overfitting."
*What is batch normalization*,"Batch normalization is a technique used to stabilize and speed up the training of neural networks by normalizing inputs."
*What is an epoch in training*,"An epoch is a single pass through the entire training dataset during the training process."
*What is a batch in training*,"A batch is a subset of the training data used to update the model's weights in a single step."
*What is a mini-batch in training*,"A mini-batch is a small subset of the training data used in stochastic gradient descent."
*What is early stopping*,"Early stopping is a technique where training is halted once the model's performance on the validation set stops improving."
*What is a callback in training*,"A callback is a function that can be executed at specific points during the training process to modify behavior."
*What is a loss curve*,"A loss curve is a graph that shows how the loss function changes over time during training."
*What is a learning curve*,"A learning curve is a graph that shows how model performance improves with more training data or epochs."
*What is a confusion matrix*,"A confusion matrix is a table used to evaluate the performance of a classification model by comparing predictions to actual labels."
*What is precision in AI*,"Precision is a metric that measures the proportion of true positive predictions out of all positive predictions."
*What is recall in AI*,"Recall is a metric that measures the proportion of true positives identified out of all actual positives."
*What is F1 score*,"The F1 score is a metric that combines precision and recall into a single value, balancing both measures."
*What is accuracy in AI*,"Accuracy is a metric that measures the proportion of correct predictions out of all predictions made."
*What is a ROC curve*,"A ROC curve is a graph that shows the performance of a classification model at different thresholds."
*What is AUC*,"AUC, or Area Under the Curve, is a metric that summarizes the performance of a ROC curve."
*What is a gradient in AI*,"A gradient is a vector that points in the direction of the steepest increase of a function, used in optimization."
*What is gradient descent*,"Gradient descent is an optimization algorithm used to minimize a function by iteratively moving in the direction of the negative gradient."
*What is stochastic gradient descent*,"Stochastic gradient descent is a variant of gradient descent that uses a single data point to update the model, making it faster but noisier."
*What is a learning rate*,"The learning rate is a hyperparameter that controls how much the model's weights are adjusted during training."
*What is momentum in optimization*,"Momentum is a technique used in optimization to accelerate gradient descent by adding a fraction of the previous update."
*What is regularization in AI*,"Regularization is a technique used to prevent overfitting by adding a penalty for complex models."
*What is L1 regularization*,"L1 regularization adds a penalty equal to the absolute value of the coefficients, encouraging sparsity."
*What is L2 regularization*,"L2 regularization adds a penalty equal to the square of the coefficients, discouraging large weights."
*What is dropout in neural networks*,"Dropout is a regularization technique where random neurons are ignored during training to prevent overfitting."
*What is batch normalization*,"Batch normalization is a technique used to stabilize and speed up the training of neural networks by normalizing inputs."
*What is an epoch in training*,"An epoch is a single pass through the entire training dataset during the training process."
*What is a batch in training*,"A batch is a subset of the training data used to update the model's weights in a single step."
*What is a mini-batch in training*,"A mini-batch is a small subset of the training data used in stochastic gradient descent."
*What is early stopping*,"Early stopping is a technique where training is halted once the model's performance on the validation set stops improving."
*What is a callback in training*,"A callback is a function that can be executed at specific points during the training process to modify behavior."
*What is a loss curve*,"A loss curve is a graph that shows how the loss function changes over time during training."
*What is a learning curve*,"A learning curve is a graph that shows how model performance improves with more training data or epochs."
*What is a confusion matrix*,"A confusion matrix is a table used to evaluate the performance of a classification model by comparing predictions to actual labels."
*What is precision in AI*,"Precision is a metric that measures the proportion of true positive predictions out of all positive predictions."
*What is recall in AI*,"Recall is a metric that measures the proportion of true positives identified out of all actual positives."
*What is F1 score*,"The F1 score is a metric that combines precision and recall into a single value, balancing both measures."
*What is accuracy in AI*,"Accuracy is a metric that measures the proportion of correct predictions out of all predictions made."
*What is a ROC curve*,"A ROC curve is a graph that shows the performance of a classification model at different thresholds."
*What is AUC*,"AUC, or Area Under the Curve, is a metric that summarizes the performance of a ROC curve."
*What is a gradient in AI*,"A gradient is a vector that points in the direction of the steepest increase of a function, used in optimization."
*What is gradient descent*,"Gradient descent is an optimization algorithm used to minimize a function by iteratively moving in the direction of the negative gradient."
*What is stochastic gradient descent*,"Stochastic gradient descent is a variant of gradient descent that uses a single data point to update the model, making it faster but noisier."
*What is a learning rate*,"The learning rate is a hyperparameter that controls how much the model's weights are adjusted during training."
*What is momentum in optimization*,"Momentum is a technique used in optimization to accelerate gradient descent by adding a fraction of the previous update."
*What is regularization in AI*,"Regularization is a technique used to prevent overfitting by adding a penalty for complex models."
*What is L1 regularization*,"L1 regularization adds a penalty equal to the absolute value of the coefficients, encouraging sparsity."
*What is L2 regularization*,"L2 regularization adds a penalty equal to the square of the coefficients, discouraging large weights."
*What is dropout in neural networks*,"Dropout is a regularization technique where random neurons are ignored during training to prevent overfitting."
*What is batch normalization*,"Batch normalization is a technique used to stabilize and speed up the training of neural networks by normalizing inputs."
*What is an epoch in training*,"An epoch is a single pass through the entire training dataset during the training process."
*What is a batch in training*,"A batch is a subset of the training data used to update the model's weights in a single step."
*What is a mini-batch in training*,"A mini-batch is a small subset of the training data used in stochastic gradient descent."
*What is early stopping*,"Early stopping is a technique where training is halted once the model's performance on the validation set stops improving."
*What is a callback in training*,"A callback is a function that can be executed at specific points during the training process to modify behavior."
*What is a loss curve*,"A loss curve is a graph that shows how the loss function changes over time during training."
*What is a learning curve*,"A learning curve is a graph that shows how model performance improves with more training data or epochs."
*What is a confusion matrix*,"A confusion matrix is a table used to evaluate the performance of a classification model by comparing predictions to actual labels."
